연도,분기,가해운전자 성별,건수,비율,중대사고비율
2016,1,남,2271,77.82727895819053,31.836195508586524
2016,1,여,647,22.17272104180946,29.675425038639876
2016,2,남,2453,76.75219023779725,31.960864247859767
2016,2,여,743,23.247809762202753,32.70524899057873
2016,3,남,2395,78.42174197773411,32.06680584551148
2016,3,여,659,21.57825802226588,31.71471927162367
2016,4,남,2505,77.79503105590062,35.28942115768463
2016,4,여,715,22.204968944099377,29.790209790209794
2017,1,남,2227,79.14001421464108,32.5101032779524
2017,1,여,587,20.85998578535892,33.04940374787053
2017,2,남,2334,75.80383241312114,31.919451585261356
2017,2,여,745,24.196167586878854,32.080536912751676
2017,3,남,2432,77.08399366085578,32.97697368421053
2017,3,여,723,22.916006339144214,28.492392807745503
2017,4,남,2548,77.61194029850746,31.122448979591837
2017,4,여,735,22.388059701492537,29.65986394557823
2018,1,남,2182,77.10247349823321,30.430797433547202
2018,1,여,648,22.897526501766784,30.09259259259259
2018,2,남,2442,75.86206896551724,29.606879606879605
2018,2,여,777,24.137931034482758,28.57142857142857
2018,3,남,2438,75.2933909820877,29.614438063986874
2018,3,여,800,24.706609017912292,28.999999999999996
2018,4,남,2420,74.02875497093913,29.958677685950413
2018,4,여,849,25.971245029060874,29.799764428739696
2019,1,남,2303,75.45871559633028,28.658271819366043
2019,1,여,749,24.541284403669724,23.89853137516689
2019,2,남,2668,74.19354838709677,28.448275862068968
2019,2,여,928,25.806451612903224,24.78448275862069
2019,3,남,2570,74.90527542990381,27.47081712062257
2019,3,여,861,25.094724570096183,23.809523809523807
2019,4,남,2843,74.38513867085295,26.55645444952515
2019,4,여,979,25.614861329147043,25.4341164453524
2020,1,남,2044,76.69793621013133,24.90215264187867
2020,1,여,621,23.30206378986867,24.9597423510467
2020,2,남,2373,76.13089509143407,22.88242730720607
2020,2,여,744,23.86910490856593,22.177419354838708
2020,3,남,2512,75.36753675367537,24.960191082802545
2020,3,여,821,24.632463246324633,22.41169305724726
2020,4,남,2421,74.88400866068667,23.46137959520859
2020,4,여,812,25.115991339313332,22.660098522167488
2021,1,남,2060,74.31457431457432,25.436893203883493
2021,1,여,712,25.685425685425685,23.595505617977526
2021,2,남,2176,72.94669795507878,24.58639705882353
2021,2,여,807,27.053302044921217,21.189591078066915
2021,3,남,2169,75.83916083916084,22.130013831258644
2021,3,여,691,24.160839160839163,20.40520984081042
2021,4,남,2241,74.4271006310196,24.63186077643909
2021,4,여,770,25.572899368980405,18.961038961038962
2022,1,남,1729,75.43630017452007,23.13475997686524
2022,1,여,563,24.56369982547993,24.866785079928952
2022,2,남,2020,72.01426024955437,25.0
2022,2,여,785,27.98573975044563,20.127388535031848
2022,3,남,1987,73.81129271916791,22.29491696024157
2022,3,여,705,26.188707280832098,21.418439716312058
2022,4,남,2057,73.09879175550817,23.77248420029169
2022,4,여,757,26.901208244491826,21.92866578599736
2023,1,남,1751,73.63330529857024,23.1296402055968
2023,1,여,627,26.366694701429772,21.21212121212121
2023,2,남,1944,72.0,23.25102880658436
2023,2,여,756,28.000000000000004,20.105820105820104
2023,3,남,1955,74.41948991244766,24.85933503836317
2023,3,여,672,25.580510087552337,23.065476190476193
2023,4,남,1893,72.05938332698895,24.300052826201796
2023,4,여,734,27.940616673011036,22.615803814713896
2024,1,남,1630,73.0614074406096,25.214723926380366
2024,1,여,601,26.938592559390408,24.292845257903494
2024,2,남,1671,70.15113350125944,24.536205864751643
2024,2,여,711,29.848866498740556,22.362869198312236
2024,3,남,1785,71.91780821917808,23.19327731092437
2024,3,여,697,28.08219178082192,21.8077474892396
2024,4,남,1775,69.1468640436307,23.098591549295776
2024,4,여,792,30.853135956369304,21.338383838383837
2025,1,남,1555,72.52798507462687,22.186495176848876
2025,1,여,589,27.472014925373134,19.185059422750424
2025,2,남,1748,70.91277890466532,20.652173913043477
2025,2,여,717,29.087221095334687,21.75732217573222
2025,3,남,1801,69.86035686578744,25.26374236535258
2025,3,여,777,30.13964313421257,19.81981981981982
2025,4,남,1786,70.09419152276296,23.96416573348264
2025,4,여,762,29.905808477237052,20.866141732283463
