연도,분기,가해운전자 차종,건수,비율,중대사고비율
2016,1,건설기계,12,0.411240575736806,50.0
2016,1,승용,2100,71.96710075394105,30.238095238095237
2016,1,승합,115,3.9410555174777246,35.65217391304348
2016,1,원동기,68,2.3303632625085675,33.82352941176471
2016,1,이륜,246,8.430431802604524,26.01626016260163
2016,1,자전거,78,2.6730637422892394,23.076923076923077
2016,1,특수,9,0.3084304318026045,44.44444444444444
2016,1,화물,290,9.93831391363948,42.758620689655174
2016,2,건설기계,21,0.6570713391739674,38.095238095238095
2016,2,농기계,2,0.0625782227784731,50.0
2016,2,승용,2239,70.05632040050062,31.353282715497986
2016,2,승합,116,3.629536921151439,33.62068965517241
2016,2,원동기,73,2.2841051314142677,38.35616438356164
2016,2,이륜,271,8.479349186483104,30.996309963099634
2016,2,자전거,139,4.34918648310388,29.496402877697843
2016,2,특수,9,0.2816020025031289,77.77777777777779
2016,2,화물,326,10.200250312891114,35.88957055214724
2016,3,건설기계,14,0.45841519318926005,35.714285714285715
2016,3,농기계,1,0.03274394237066143,0.0
2016,3,승용,2138,70.00654878847413,32.08606173994387
2016,3,승합,103,3.3726260641781267,37.86407766990291
2016,3,원동기,68,2.226588081204977,27.941176470588236
2016,3,이륜,257,8.415193189259988,29.961089494163424
2016,3,자전거,144,4.715127701375246,26.38888888888889
2016,3,특수,11,0.3601833660772757,54.54545454545454
2016,3,화물,318,10.412573673870334,33.64779874213836
2016,4,건설기계,18,0.5590062111801243,33.33333333333333
2016,4,농기계,4,0.12422360248447205,50.0
2016,4,승용,2276,70.6832298136646,33.74340949033392
2016,4,승합,120,3.7267080745341614,38.333333333333336
2016,4,원동기,65,2.018633540372671,26.153846153846157
2016,4,이륜,271,8.416149068322982,28.782287822878228
2016,4,자전거,112,3.4782608695652173,18.75
2016,4,특수,12,0.37267080745341613,41.66666666666667
2016,4,화물,342,10.621118012422361,45.02923976608187
2017,1,개인형이동수단(PM),1,0.03553660270078181,0.0
2017,1,건설기계,9,0.31982942430703626,22.22222222222222
2017,1,사륜오토바이(ATV),1,0.03553660270078181,0.0
2017,1,승용,2030,72.13930348258707,32.118226600985224
2017,1,승합,103,3.660270078180526,47.57281553398058
2017,1,원동기,67,2.380952380952381,37.3134328358209
2017,1,이륜,226,8.031272210376688,27.876106194690266
2017,1,자전거,97,3.447050461975835,25.773195876288657
2017,1,특수,7,0.24875621890547264,14.285714285714285
