연도,분기,가해운전자 연령대,건수,비율,중대사고비율
2018,3,65세 이상,444,13.823163138231632,30.405405405405407
2018,4,20세 이하,98,3.0163127116035704,19.387755102040817
2018,4,21-30세,493,15.173899661434287,27.38336713995943
2018,4,31-40세,480,14.773776546629733,30.625000000000004
2018,4,41-50세,663,20.406278855032316,29.411764705882355
2018,4,51-60세,780,24.007386888273317,31.28205128205128
2018,4,61-64세,295,9.079716835949522,30.16949152542373
2018,4,65세 이상,440,13.542628501077255,31.818181818181817
2019,1,20세 이하,118,3.891820580474934,27.966101694915253
2019,1,21-30세,435,14.346965699208445,24.597701149425287
2019,1,31-40세,464,15.303430079155673,27.586206896551722
2019,1,41-50세,564,18.601583113456467,28.54609929078014
2019,1,51-60세,737,24.307387862796833,27.951153324287652
2019,1,61-64세,260,8.575197889182059,31.153846153846153
2019,1,65세 이상,454,14.973614775725594,24.88986784140969
2019,2,20세 이하,131,3.6735838474481213,20.610687022900763
2019,2,21-30세,522,14.638250140213124,30.842911877394634
2019,2,31-40세,489,13.712843522153673,25.153374233128833
2019,2,41-50세,727,20.38698822209759,24.896836313617605
2019,2,51-60세,893,25.042063937184523,28.77939529675252
2019,2,61-64세,291,8.160403813796972,27.147766323024054
2019,2,65세 이상,513,14.385866517106003,28.654970760233915
2019,3,20세 이하,134,3.94349617422013,23.134328358208954
2019,3,21-30세,510,15.008828722778105,24.901960784313726
2019,3,31-40세,521,15.33254855797528,23.608445297504797
2019,3,41-50세,653,19.217186580341377,27.565084226646245
2019,3,51-60세,783,23.042966450853445,27.713920817369093
2019,3,61-64세,303,8.917010005885816,25.742574257425744
2019,3,65세 이상,494,14.53796350794585,27.530364372469634
2019,4,20세 이하,153,4.044409199048374,17.647058823529413
2019,4,21-30세,541,14.30081945545863,24.76894639556377
2019,4,31-40세,535,14.142215173143008,29.719626168224302
2019,4,41-50세,734,19.402590536611157,28.337874659400548
2019,4,51-60세,924,24.425059476605867,27.27272727272727
2019,4,61-64세,306,8.088818398096748,25.163398692810457
2019,4,65세 이상,590,15.596087761036214,22.033898305084744
2020,1,20세 이하,119,4.492261230653076,30.252100840336134
2020,1,21-30세,380,14.345035862589656,23.157894736842106
2020,1,31-40세,417,15.741789354473386,26.85851318944844
2020,1,41-50세,474,17.893544733861834,24.68354430379747
2020,1,51-60세,677,25.55681389203473,24.372230428360414
2020,1,61-64세,215,8.116270290675727,24.651162790697676
2020,1,65세 이상,367,13.85428463571159,23.705722070844686
2020,2,20세 이하,143,4.629329880220136,24.475524475524477
2020,2,21-30세,456,14.76205891874393,23.026315789473685
2020,2,31-40세,464,15.021042408546457,20.25862068965517
2020,2,41-50세,544,17.610877306571705,21.323529411764707
2020,2,51-60세,729,23.5998705082551,23.18244170096022
2020,2,61-64세,263,8.514082227258012,21.292775665399237
2020,2,65세 이상,490,15.862738750404661,25.30612244897959
2020,3,20세 이하,139,4.204476709013914,25.899280575539567
2020,3,21-30세,536,16.212946158499697,24.813432835820894
2020,3,31-40세,457,13.82335148215366,22.975929978118163
2020,3,41-50세,594,17.96733212341198,24.579124579124578
2020,3,51-60세,795,24.047186932849364,24.90566037735849
2020,3,61-64세,270,8.166969147005444,23.703703703703706
2020,3,65세 이상,515,15.577737447065939,22.718446601941746
2020,4,20세 이하,130,4.05110626363353,26.153846153846157
2020,4,21-30세,525,16.360236833904644,24.0
2020,4,31-40세,454,14.147709566843252,22.24669603524229
2020,4,41-50세,537,16.73418510439389,25.32588454376164
2020,4,51-60세,777,24.21315051417887,20.97812097812098
2020,4,61-64세,277,8.631972577126831,21.660649819494584
2020,4,65세 이상,509,15.861639139918978,23.575638506876228
2021,1,20세 이하,104,3.7776970577551765,22.115384615384613
2021,1,21-30세,423,15.365056302215766,23.87706855791962
2021,1,31-40세,432,15.691972393752271,28.009259259259263
2021,1,41-50세,456,16.563748637849617,27.850877192982455
2021,1,51-60세,654,23.755902651652743,24.00611620795107
2021,1,61-64세,264,9.589538685070833,24.242424242424242
2021,1,65세 이상,420,15.256084271703596,21.666666666666668
2021,2,20세 이하,118,4.0,20.33898305084746
2021,2,21-30세,392,13.288135593220337,26.02040816326531
2021,2,31-40세,437,14.813559322033898,23.340961098398168
2021,2,41-50세,514,17.423728813559322,23.346303501945524
2021,2,51-60세,692,23.457627118644066,22.832369942196532
2021,2,61-64세,288,9.76271186440678,22.916666666666664
2021,2,65세 이상,509,17.25423728813559,23.772102161100197
2021,3,20세 이하,114,4.0225829216654905,27.192982456140353
2021,3,21-30세,453,15.984474241354976,22.075055187637968
2021,3,31-40세,407,14.361326746647848,20.14742014742015
2021,3,41-50세,492,17.3606210303458,18.69918699186992
2021,3,51-60세,649,22.900494001411435,22.650231124807398
2021,3,61-64세,268,9.456598447424136,24.62686567164179
2021,3,65세 이상,451,15.913902611150318,20.84257206208426
2021,4,20세 이하,90,3.0120481927710845,20.0
2021,4,21-30세,456,15.261044176706829,22.807017543859647
2021,4,31-40세,421,14.089692101740296,21.61520190023753
2021,4,41-50세,538,18.005354752342704,26.20817843866171
2021,4,51-60세,669,22.389558232931726,23.61733931240658
2021,4,61-64세,303,10.140562248995984,21.782178217821784
2021,4,65세 이상,511,17.101740294511377,21.722113502935418
2022,1,20세 이하,72,3.1648351648351647,20.833333333333336
2022,1,21-30세,368,16.17582417582418,24.728260869565215
2022,1,31-40세,327,14.373626373626374,24.464831804281346
2022,1,41-50세,417,18.329670329670332,23.021582733812952
2022,1,51-60세,539,23.692307692307693,24.860853432282003
2022,1,61-64세,193,8.483516483516484,23.316062176165804
2022,1,65세 이상,359,15.780219780219781,19.77715877437326
2022,2,20세 이하,114,4.0918880114860015,23.684210526315788
2022,2,21-30세,407,14.60875807609476,22.604422604422606
2022,2,31-40세,400,14.357501794687725,21.0
2022,2,41-50세,485,17.408470926058868,22.061855670103093
2022,2,51-60세,638,22.90021536252692,24.294670846394983
2022,2,61-64세,270,9.691313711414214,24.814814814814813
2022,2,65세 이상,472,16.941852117731514,26.27118644067797
2022,3,20세 이하,107,4.0059902658180455,26.168224299065418
2022,3,21-30세,377,14.114563833770125,21.220159151193634
2022,3,31-40세,360,13.478098090602769,21.944444444444443
2022,3,41-50세,410,15.350056158742046,19.26829268292683
2022,3,51-60세,582,21.789591913141145,21.649484536082475
2022,3,61-64세,294,11.007113440658928,20.74829931972789
2022,3,65세 이상,541,20.25458629726694,24.953789279112755
2022,4,20세 이하,91,3.2604801146542455,26.373626373626376
2022,4,21-30세,409,14.654245790039413,23.227383863080682
2022,4,31-40세,389,13.937656753851666,20.822622107969153
2022,4,41-50세,441,15.800788247939806,26.75736961451247
2022,4,51-60세,635,22.751701898960945,22.51968503937008
2022,4,61-64세,274,9.817269795772125,20.437956204379564
2022,4,65세 이상,552,19.777857398781798,22.644927536231883
2023,1,20세 이하,59,2.4873524451939293,32.20338983050847
2023,1,21-30세,345,14.54468802698145,22.318840579710145
2023,1,31-40세,304,12.816188870151771,19.407894736842106
2023,1,41-50세,377,15.893760539629003,21.220159151193634
2023,1,51-60세,570,24.03035413153457,24.736842105263158
2023,1,61-64세,232,9.780775716694773,23.70689655172414
2023,1,65세 이상,485,20.446880269814503,21.855670103092784
2023,2,20세 이하,96,3.598200899550225,25.0
2023,2,21-30세,367,13.755622188905548,23.705722070844686
2023,2,31-40세,378,14.167916041979012,25.396825396825395
2023,2,41-50세,413,15.47976011994003,22.760290556900724
2023,2,51-60세,600,22.488755622188904,22.0
2023,2,61-64세,256,9.5952023988006,18.359375
2023,2,65세 이상,558,20.91454272863568,18.996415770609318
2023,3,20세 이하,98,3.730491054434716,26.53061224489796
2023,3,21-30세,346,13.17091739626951,19.942196531791907
2023,3,31-40세,369,14.046440807004187,21.951219512195124
2023,3,41-50세,389,14.807765511990864,27.249357326478147
2023,3,51-60세,583,22.19261515036163,26.243567753001717
2023,3,61-64세,284,10.81081081081081,26.408450704225352
2023,3,65세 이상,558,21.240959269128286,23.476702508960575
2023,4,20세 이하,77,2.931100114198706,19.480519480519483
2023,4,21-30세,353,13.437381043014845,21.246458923512748
2023,4,31-40세,365,13.894175866006853,23.013698630136986
2023,4,41-50세,433,16.482679862961554,25.17321016166282
2023,4,51-60세,584,22.23068138561096,25.34246575342466
2023,4,61-64세,264,10.049486105824133,23.106060606060606
2023,4,65세 이상,551,20.974495622382946,24.319419237749546
2024,1,20세 이하,61,2.7341999103541013,27.86885245901639
2024,1,21-30세,285,12.774540564769163,26.31578947368421
2024,1,31-40세,303,13.581353653070371,28.052805280528055
2024,1,41-50세,379,16.98789780367548,24.538258575197887
2024,1,51-60세,499,22.36665172568355,24.04809619238477
2024,1,61-64세,214,9.592111160914389,22.897196261682243
2024,1,65세 이상,490,21.963245181532944,24.081632653061224
2024,2,20세 이하,78,3.27455919395466,35.8974358974359
2024,2,21-30세,303,12.720403022670027,24.422442244224424
2024,2,31-40세,291,12.21662468513854,26.46048109965636
2024,2,41-50세,391,16.41477749790092,21.22762148337596
2024,2,51-60세,542,22.753988245172124,21.58671586715867
2024,2,61-64세,257,10.789252728799328,26.07003891050584
2024,2,65세 이상,520,21.8303946263644,23.653846153846153
2024,3,20세 이하,107,4.311039484286865,29.906542056074763
2024,3,21-30세,285,11.482675261885577,21.403508771929825
2024,3,31-40세,321,12.933118452860596,23.05295950155763
2024,3,41-50세,420,16.921837228041902,20.714285714285715
2024,3,51-60세,532,21.434327155519743,25.563909774436087
2024,3,61-64세,254,10.233682514101531,22.83464566929134
2024,3,65세 이상,563,22.683319903303786,20.959147424511546
2024,4,20세 이하,79,3.0775223996883523,22.78481012658228
2024,4,21-30세,304,11.842617841838722,19.407894736842106
2024,4,31-40세,325,12.660693416439422,16.923076923076923
2024,4,41-50세,435,16.94585118815738,22.758620689655174
2024,4,51-60세,575,22.399688352162055,23.47826086956522
2024,4,61-64세,247,9.62212699649396,27.93522267206478
2024,4,65세 이상,602,23.451499805220102,23.920265780730897
2025,1,20세 이하,61,2.845149253731343,26.229508196721312
2025,1,21-30세,254,11.847014925373134,20.866141732283463
2025,1,31-40세,282,13.152985074626866,22.69503546099291
2025,1,41-50세,356,16.6044776119403,23.595505617977526
2025,1,51-60세,473,22.061567164179106,18.816067653276956
2025,1,61-64세,216,10.074626865671641,23.61111111111111
2025,1,65세 이상,502,23.41417910447761,20.119521912350596
2025,2,20세 이하,86,3.4888438133874238,30.23255813953488
2025,2,21-30세,272,11.03448275862069,20.955882352941178
2025,2,31-40세,327,13.265720081135903,18.960244648318042
2025,2,41-50세,409,16.592292089249494,24.205378973105134
2025,2,51-60세,568,23.04259634888438,17.781690140845072
2025,2,61-64세,247,10.020283975659229,25.101214574898783
2025,2,65세 이상,556,22.55578093306288,19.784172661870503
2025,3,20세 이하,76,2.948021722265322,31.57894736842105
2025,3,21-30세,280,10.861132660977502,22.5
2025,3,31-40세,326,12.645461598138091,25.153374233128833
2025,3,41-50세,415,16.097750193948798,23.132530120481928
2025,3,51-60세,550,21.334367726920092,23.454545454545457
2025,3,61-64세,284,11.016291698991466,25.0
2025,3,65세 이상,647,25.096974398758725,22.256568778979908
2025,4,20세 이하,66,2.5902668759811616,28.78787878787879
2025,4,21-30세,262,10.282574568288853,20.99236641221374
2025,4,31-40세,315,12.362637362637363,23.174603174603174
2025,4,41-50세,437,17.150706436420723,24.94279176201373
2025,4,51-60세,541,21.232339089481947,25.508317929759706
2025,4,61-64세,274,10.75353218210361,18.97810218978102
2025,4,65세 이상,653,25.62794348508634,21.592649310872893
